ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94104,12,2022,Gas- Commercial,Y,0,0,
94105,10,2022,Gas- Commercial,N,190,"276,292","1,454"
94105,11,2022,Gas- Commercial,N,189,"397,125","2,101"
94105,12,2022,Gas- Commercial,N,190,"522,242","2,749"
94107,10,2022,Gas- Commercial,Y,830,"451,644",544
94107,11,2022,Gas- Commercial,Y,824,"604,318",733
94107,12,2022,Gas- Commercial,Y,820,"760,730",928
94108,10,2022,Gas- Commercial,N,467,"144,998",310
94108,11,2022,Gas- Commercial,N,465,"169,514",365
94108,12,2022,Gas- Commercial,N,466,"203,299",436
94109,10,2022,Gas- Commercial,N,684,"263,805",386
94109,11,2022,Gas- Commercial,N,683,"316,681",464
94109,12,2022,Gas- Commercial,N,683,"376,588",551
94110,10,2022,Gas- Commercial,N,"1,097","240,092",219
94110,11,2022,Gas- Commercial,N,"1,095","311,356",284
94110,12,2022,Gas- Commercial,N,"1,098","364,393",332
94111,10,2022,Gas- Commercial,Y,329,"308,976",939
94111,11,2022,Gas- Commercial,Y,329,"496,651","1,510"
94111,12,2022,Gas- Commercial,Y,331,"642,661","1,942"
94112,10,2022,Gas- Commercial,N,480,"142,875",298
94112,11,2022,Gas- Commercial,Y,718,"224,508",313
94112,12,2022,Gas- Commercial,Y,891,"366,012",411
94114,10,2022,Gas- Commercial,Y,543,"105,693",195
94114,11,2022,Gas- Commercial,Y,936,"243,608",260
94114,12,2022,Gas- Commercial,Y,936,"292,634",313
94115,10,2022,Gas- Commercial,N,475,"173,451",365
94115,11,2022,Gas- Commercial,N,474,"223,957",472
94115,12,2022,Gas- Commercial,N,473,"287,910",609
94116,10,2022,Gas- Commercial,Y,0,0,
94116,11,2022,Gas- Commercial,N,278,"76,440",275
94116,12,2022,Gas- Commercial,N,278,"90,817",327
94117,10,2022,Gas- Commercial,N,397,"90,011",227
94117,11,2022,Gas- Commercial,Y,0,0,
94117,12,2022,Gas- Commercial,Y,0,0,
94118,10,2022,Gas- Commercial,Y,627,"239,623",382
94118,11,2022,Gas- Commercial,Y,630,"309,635",491
94118,12,2022,Gas- Commercial,Y,628,"368,852",587
94121,10,2022,Gas- Commercial,N,331,"86,599",262
94121,11,2022,Gas- Commercial,Y,0,0,
94121,12,2022,Gas- Commercial,Y,0,0,
94122,10,2022,Gas- Commercial,Y,844,"184,119",218
94122,11,2022,Gas- Commercial,Y,899,"231,562",258
94122,12,2022,Gas- Commercial,Y,901,"265,341",294
94123,10,2022,Gas- Commercial,N,486,"114,897",236
94123,11,2022,Gas- Commercial,N,483,"129,021",267
94123,12,2022,Gas- Commercial,N,482,"153,300",318
94124,10,2022,Gas- Commercial,N,682,"154,915",227
94124,11,2022,Gas- Commercial,Y,854,"286,753",336
94124,12,2022,Gas- Commercial,N,681,"264,213",388
94127,10,2022,Gas- Commercial,N,236,"37,698",160
94127,11,2022,Gas- Commercial,Y,0,0,
94127,12,2022,Gas- Commercial,Y,0,0,
94128,10,2022,Gas- Commercial,Y,0,0,
94128,11,2022,Gas- Commercial,Y,0,0,
94128,12,2022,Gas- Commercial,Y,0,0,
94129,10,2022,Gas- Commercial,Y,0,0,
94129,11,2022,Gas- Commercial,Y,0,0,
94129,12,2022,Gas- Commercial,Y,0,0,
94131,10,2022,Gas- Commercial,Y,0,0,
94131,11,2022,Gas- Commercial,Y,0,0,
94131,12,2022,Gas- Commercial,Y,0,0,
94132,10,2022,Gas- Commercial,N,159,"78,853",496
94132,11,2022,Gas- Commercial,N,159,"100,336",631
94132,12,2022,Gas- Commercial,N,157,"123,683",788
94133,10,2022,Gas- Commercial,N,600,"220,016",367
94133,11,2022,Gas- Commercial,N,597,"241,718",405
94133,12,2022,Gas- Commercial,N,595,"282,416",475
94134,10,2022,Gas- Commercial,Y,0,0,
94134,11,2022,Gas- Commercial,Y,0,0,
94134,12,2022,Gas- Commercial,Y,0,0,
94158,10,2022,Gas- Commercial,Y,0,0,
94158,11,2022,Gas- Commercial,Y,0,0,
94158,12,2022,Gas- Commercial,Y,0,0,
94303,10,2022,Gas- Commercial,Y,0,0,
94303,11,2022,Gas- Commercial,Y,0,0,
94303,12,2022,Gas- Commercial,Y,0,0,
94304,10,2022,Gas- Commercial,Y,0,0,
94304,11,2022,Gas- Commercial,Y,0,0,
94304,12,2022,Gas- Commercial,Y,0,0,
94305,10,2022,Gas- Commercial,Y,0,0,
94305,11,2022,Gas- Commercial,Y,0,0,
94305,12,2022,Gas- Commercial,Y,0,0,
94306,10,2022,Gas- Commercial,Y,0,0,
94306,11,2022,Gas- Commercial,Y,0,0,
94306,12,2022,Gas- Commercial,Y,0,0,
94401,10,2022,Gas- Commercial,Y,0,0,
94401,11,2022,Gas- Commercial,Y,"1,420","1,142,934",805
94401,12,2022,Gas- Commercial,Y,"1,421","1,363,813",960
94402,10,2022,Gas- Commercial,Y,0,0,
94402,11,2022,Gas- Commercial,Y,499,"297,786",597
94402,12,2022,Gas- Commercial,Y,498,"353,808",710
94403,10,2022,Gas- Commercial,Y,0,0,
94403,11,2022,Gas- Commercial,Y,0,0,
94403,12,2022,Gas- Commercial,Y,0,0,
94404,10,2022,Gas- Commercial,Y,0,0,
94404,11,2022,Gas- Commercial,Y,0,0,
94404,12,2022,Gas- Commercial,Y,0,0,
94501,10,2022,Gas- Commercial,Y,"1,185","351,878",297
94501,11,2022,Gas- Commercial,N,761,"416,476",547
94501,12,2022,Gas- Commercial,N,766,"501,080",654
94502,10,2022,Gas- Commercial,Y,0,0,
